Date,Open,High,Low,Close,Adj Close,Volume
2015.1.2,4165,4285,4155,4285,4238.118164,413610
2015.1.5,4320,4420,4305,4390,4341.969238,776441
2015.1.6,4370,4415,4300,4350,4302.407227,404855
2015.1.7,4310,4410,4265,4395,4346.914551,411150
2015.1.8,4370,4410,4330,4350,4302.407227,215574
2015.1.9,4370,4390,4335,4345,4297.461914,238189
2015.1.12,4430,4685,4430,4550,4500.21875,1751643
2015.1.13,4540,4550,4400,4410,4361.750488,434337
2015.1.14,4470,4590,4415,4590,4539.78125,503337
2015.1.15,4535,4565,4490,4560,4510.109375,282560
2015.1.16,4520,4580,4440,4505,4455.711426,550177
2015.1.19,4560,4630,4460,4600,4549.671875,645409
2015.1.20,4640,4645,4555,4580,4529.890625,323136
2015.1.21,4570,4650,4525,4620,4569.453125,435599
2015.1.22,4600,4640,4455,4455,4406.258301,511953
2015.1.23,4495,4640,4455,4630,4579.34375,425882
2015.1.26,4775,4780,4650,4650,4599.125,471087
2015.1.27,4635,4765,4540,4540,4490.328125,463456
2015.1.28,4525,4720,4525,4680,4628.796387,385288
2015.1.29,4680,4770,4655,4665,4613.960449,514274
2015.1.30,4660,4685,4570,4615,4564.507813,384028
2015.2.2,4670,4820,4615,4815,4762.319336,710842
2015.2.3,4790,4870,4750,4810,4757.374023,444676
2015.2.4,4850,4870,4780,4815,4762.319336,281410
2015.2.5,4810,4920,4770,4800,4747.483398,440875
2015.2.6,4835,4835,4730,4735,4683.194824,363134
2015.2.9,4810,4835,4650,4650,4599.125,498819
2015.2.10,4630,4650,4455,4465,4416.148926,577450
2015.2.11,4485,4600,4485,4550,4500.21875,280623
2015.2.12,4600,4815,4525,4570,4520,1104771
2015.2.13,4580,4670,4560,4620,4569.453125,431282
2015.2.16,4610,4880,4590,4725,4673.304199,879994
2015.2.17,4700,4940,4700,4900,4846.389648,932614
2015.2.23,4850,5110,4800,4975,4920.568848,1324225
2015.2.24,4975,5000,4890,4945,4890.896973,533384
2015.2.25,4990,5230,4945,5000,4945.29541,1236481
2015.2.26,4960,5100,4955,5030,4974.967285,485491
2015.2.27,5050,5320,5050,5170,5113.435547,1200330
2015.3.2,5310,5400,5120,5150,5093.654297,1330627
2015.3.3,5150,5290,5060,5120,5063.982422,884220
2015.3.4,5120,5180,5030,5130,5073.873047,422593
2015.3.5,5180,5180,4950,4950,4895.842285,547639
2015.3.6,4955,4970,4890,4925,4871.116211,395228
2015.3.9,4905,4935,4645,4660,4609.015137,709313
2015.3.10,4700,4755,4635,4680,4628.796387,447762
2015.3.11,4705,4755,4650,4705,4653.522949,220742
2015.3.12,4710,4805,4700,4780,4727.702637,316238
2015.3.13,4795,4895,4750,4820,4767.264648,434505
2015.3.16,4820,4845,4745,4755,4702.976074,280267
2015.3.17,4780,4835,4735,4755,4702.976074,290443
2015.3.18,4775,4785,4715,4725,4673.304199,218977
2015.3.19,4760,4805,4655,4685,4633.741699,291965
