Date,Open,High,Low,Close,Volume,Market Cap
2014.10.10,365 ,375 ,353 ,362 ,"43,665,700.00","4,833,830,847.00"
2014.10.11,361 ,367 ,356 ,362 ,"13,345,200.00","4,844,961,125.00"
2014.10.12,363 ,379 ,356 ,379 ,"17,552,800.00","5,063,689,090.00"
2014.10.13,378 ,397 ,369 ,390 ,"35,221,400.00","5,223,924,767.00"
2014.10.14,392 ,412 ,391 ,401 ,"38,491,500.00","5,365,153,884.00"
2014.10.15,401 ,402 ,389 ,395 ,"25,267,100.00","5,285,043,276.00"
2014.10.16,395 ,399 ,373 ,383 ,"26,990,000.00","5,122,903,035.00"
2014.10.17,383 ,385 ,375 ,384 ,"13,600,700.00","5,140,342,471.00"
2014.10.18,384 ,395 ,379 ,391 ,"11,416,800.00","5,244,892,214.00"
2014.10.19,391 ,394 ,386 ,390 ,"5,914,570.00","5,220,783,140.00"
2014.10.20,389 ,390 ,378 ,383 ,"16,419,000.00","5,132,276,503.00"
2014.10.21,382 ,393 ,381 ,386 ,"14,188,900.00","5,182,426,851.00"
2014.10.22,386 ,389 ,382 ,383 ,"11,641,300.00","5,139,461,096.00"
2014.10.23,383 ,385 ,356 ,358 ,"26,456,900.00","4,808,952,572.00"
2014.10.24,359 ,364 ,353 ,358 ,"15,585,700.00","4,809,419,914.00"
2014.10.25,359 ,360 ,343 ,347 ,"18,127,500.00","4,662,139,220.00"
2014.10.26,347 ,359 ,344 ,355 ,"11,272,500.00","4,763,036,253.00"
2014.10.27,355 ,359 ,350 ,353 ,"13,033,000.00","4,741,410,021.00"
2014.10.28,353 ,360 ,353 ,358 ,"7,845,880.00","4,804,812,401.00"
2014.10.29,357 ,358 ,335 ,336 ,"18,192,700.00","4,510,175,245.00"
2014.10.30,336 ,351 ,335 ,345 ,"30,177,900.00","4,642,194,094.00"
2014.10.31,345 ,348 ,337 ,338 ,"12,545,400.00","4,549,893,052.00"
2014.11.1,339 ,341 ,321 ,326 ,"16,677,200.00","4,382,113,991.00"
2014.11.2,326 ,329 ,321 ,326 ,"8,603,620.00","4,385,292,372.00"
2014.11.3,326 ,334 ,325 ,328 ,"12,948,500.00","4,409,040,617.00"
2014.11.4,327 ,332 ,325 ,330 ,"15,655,500.00","4,449,934,321.00"
2014.11.5,331 ,343 ,331 ,339 ,"19,817,200.00","4,572,205,935.00"
2014.11.6,339 ,353 ,338 ,349 ,"18,797,000.00","4,705,591,219.00"
2014.11.7,350 ,353 ,342 ,342 ,"16,834,200.00","4,614,264,695.00"
2014.11.8,342 ,347 ,342 ,345 ,"8,535,470.00","4,656,988,222.00"
2014.11.9,345 ,364 ,344 ,363 ,"24,205,600.00","4,897,961,165.00"
2014.11.10,362 ,375 ,358 ,367 ,"30,450,100.00","4,948,658,123.00"
2014.11.11,366 ,371 ,364 ,368 ,"15,838,900.00","4,960,242,320.00"
