Date,Open*,High,Low,Close**,Volume,Market Cap
20.Sep.17,3.72,3.91,3.72,3.78,"387,173,588","1,324,114,575"
21.Sep.17,3.91,3.96,3.68,3.72,"469,432,714","1,302,166,857"
22.Sep.17,3.68,3.96,3.65,3.91,"479,767,865","1,367,124,006"
23.Sep.17,3.64,3.74,3.6,3.68,"336,584,772","1,286,363,619"
24.Sep.17,3.72,3.74,3.5,3.64,"418,502,740","1,274,664,482"
25.Sep.17,3.8,3.83,3.7,3.72,"373,262,888","1,300,872,243"
26.Sep.17,3.8,3.89,3.78,3.8,"326,366,096","1,331,080,897"
27.Sep.17,3.74,3.89,3.73,3.8,"356,971,612","1,331,678,326"
28.Sep.17,3.68,3.82,3.63,3.73,"458,394,827","1,303,753,636"
29.Sep.17,3.47,3.7,3.46,3.68,"419,768,838","1,287,585,113"
30.Sep.17,3.45,3.58,3.43,3.48,"386,134,896","1,216,697,578"
1.Oct.17,3.64,3.78,3.43,3.46,"511,701,400","1,210,414,587"
2.Oct.17,3.78,3.81,3.59,3.64,"497,819,796","1,273,148,903"
3.Oct.17,3.48,3.8,3.48,3.78,"517,130,842","1,324,210,521"
4.Oct.17,3.47,3.53,3.41,3.48,"431,088,440","1,216,966,013"
5.Oct.17,3.13,3.52,3.02,3.47,"599,436,392","1,214,026,692"
6.Oct.17,3.24,3.31,3.13,3.13,"425,648,503","1,095,155,423"
7.Oct.17,3.37,3.44,3.23,3.24,"497,025,727","1,132,912,028"
8.Oct.17,3.47,3.47,3.31,3.37,"663,413,131","1,179,431,615"
9.Oct.17,3.29,3.59,3.19,3.46,"712,633,668","1,211,914,055"
10.Oct.17,3.22,3.42,3.09,3.28,"653,196,770","1,148,809,627"
11.Oct.17,3.32,3.33,2.97,3.22,"748,426,338","1,125,984,900"
12.Oct.17,3.14,3.45,3.13,3.32,"734,770,971","1,162,592,770"
13.Oct.17,2.72,3.24,2.71,3.14,"518,682,498","1,098,664,301"
14.Oct.17,2.52,2.87,2.52,2.72,"577,910,419","951,294,862"
15.Oct.17,2.28,2.52,2.28,2.51,"325,590,660","879,695,007"
16.Oct.17,2.33,2.33,2.26,2.28,"161,676,431","797,063,757"
17.Oct.17,2.31,2.33,2.27,2.33,"194,260,780","814,174,591"
18.Oct.17,2.3,2.38,2.29,2.31,"226,925,452","806,773,419"
19.Oct.17,2.27,2.39,2.27,2.3,"294,353,542","805,598,218"
20.Oct.17,2.27,2.3,2.16,2.28,"289,006,168","797,390,894"
21.Oct.17,2.15,2.28,2.12,2.27,"239,526,252","794,620,235"
22.Oct.17,2.02,2.18,2.02,2.15,"220,332,929","753,662,033"
23.Oct.17,2.14,2.15,2.02,2.03,"178,728,617","708,808,881"
24.Oct.17,2.18,2.18,2.07,2.14,"234,279,603","747,848,872"
25.Oct.17,2.3,2.34,2.17,2.17,"222,982,485","761,239,725"
26.Oct.17,2.26,2.3,2.23,2.3,"209,695,287","803,298,187"
27.Oct.17,2.31,2.33,2.22,2.26,"257,497,959","790,886,272"
28.Oct.17,2.23,2.36,2.2,2.31,"321,474,267","807,763,832"
29.Oct.17,1.99,2.24,1.95,2.24,"354,551,260","783,227,446"
30.Oct.17,2.27,2.31,1.96,1.99,"295,425,228","696,102,884"
31.Oct.17,2.25,2.33,2.13,2.27,"317,973,845","795,065,384"
1.Nov.17,2.25,2.6,2.09,2.25,"526,429,075","786,765,060"
